id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI080063,Hona,2012,38,2012-09-21,Dalarnas län,6768055,427905,Dalarnas län,6754085.666666667,421873.6666666667
BI080006,Hona,2012,38,2012-09-22,Dalarnas län,6762171,521601,Dalarnas län,6766217.333333333,515272.3333333333
BI080104,Hane,2012,38,2012-09-23,Dalarnas län,6781676,494838,Dalarnas län,6781642.666666667,495256.6666666667
BI080105,Hona,2012,38,2012-09-19,Dalarnas län,6899506,377889,Dalarnas län,6899506,377889
BI080106,Hona,2012,38,2012-09-22,Dalarnas län,6762018,539090,Dalarnas län,6762018,539090
BI080010,Hona,2012,38,2012-09-22,Dalarnas län,6860352,373275,Dalarnas län,6859836.5,375091.5
BI050224,Hona,2012,37,2012-09-13,Dalarnas län,6806975,400117,Dalarnas län,6801681,402479
BI080090,Hona,2012,38,2012-09-22,Dalarnas län,6750749,455629,Dalarnas län,6749997.444444444,458818.44444444444
BI401100,Hona,2012,38,2012-09-23,Dalarnas län,6839801,375409,Dalarnas län,6837655.666666667,376634.6666666667
BI080107,Hane,2012,38,2012-09-19,Dalarnas län,6869670,398713,Dalarnas län,6869670,398713
BI080035,Hona,2012,34,2012-08-26,Dalarnas län,6865619,383072,Dalarnas län,6865619,383072
BI080224,Hona,2012,38,2012-09-23,Dalarnas län,6773905,534456,Dalarnas län,6769683.2,537959
BI080052,Hane,2012,38,2012-09-21,Dalarnas län,6745815,471880,Dalarnas län,6751125.5,472511.875
BI080093,Hane,2012,39,2012-09-29,Dalarnas län,6745510,539791,Dalarnas län,6741017.142857143,543401.5714285715
BI080021,Hona,2012,39,2012-09-28,Dalarnas län,6741390,446771,Dalarnas län,6733391.947368421,443864.5263157895
BI080055,Hona,2012,40,2012-10-01,Dalarnas län,6862749,389883,Dalarnas län,6863607.545454546,391607.45454545453
BI080092,Hona,2012,40,2012-10-01,Dalarnas län,6776161,526028,Dalarnas län,6778020,528699
BI040864,Hona,2012,40,2012-10-01,Dalarnas län,6825513,404811,Dalarnas län,6824918.625,408008.25
BI080108,Hane,2012,39,2012-09-30,Dalarnas län,6713588,459964,Dalarnas län,6718188.285714285,460749
BI080036,Hona,2012,34,2012-08-24,Dalarnas län,6864201,380578,Dalarnas län,6872034,382220.3333333333
BI080109,Hona,2012,39,2012-09-28,Dalarnas län,6809558,464440,Dalarnas län,6807597.25,464853
BI080110,Hona,2012,39,2012-09-29,Dalarnas län,6741076,526918,Dalarnas län,6740906.6,520148.6
